chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0.370287345,0.191693127,1557.374512,2275.53126,3597.443831,0.038680712,-128.1025502,117.317288,32.49343595,25.9339066,2.077037794,21.83614291,-1.437349816,3.273490616,-0.399960576,4.981345994,-8.037474048,4.673783181,-7.352881909,-0.352968001,-0.288618369,-0.979883989,-5.614289696,2.697311133,-3.032662777,2.507964214,alternative
0.301206857,0.119173102,893.4534269,1477.83953,1654.409486,0.033148746,-228.41709,162.2429205,25.15979877,41.35900265,4.655550654,13.66449718,-3.712555571,2.449575795,-7.299571318,1.404968818,-6.381818243,-2.949600319,-5.50641113,-3.402749078,-5.38749931,-2.061254266,-8.820432696,0.046903271,-6.140893567,-0.008787858,alternative
0.374750344,0.204686299,1272.001355,1840.315746,2725.923656,0.043231584,-113.3560563,133.6939416,-2.519476466,36.91855271,8.004346491,25.11850394,6.000156169,6.944961397,2.724994878,1.026910008,-5.052428185,1.388653392,-1.123304817,4.382882329,-1.269500656,-6.066055788,-10.56459489,-7.830298918,-9.222732616,1.241878336,alternative
0.288314111,0.124960929,1947.479433,2323.595227,4008.348307,0.079759779,-159.3956647,104.7779925,-10.01759088,17.0323901,14.93231379,-6.12904711,13.62446982,-0.071662868,-4.318647681,4.580070064,-9.455431523,1.002229045,-14.07294985,2.751336416,-12.27944855,-2.544142072,-7.8295725,-3.461864633,-5.980611788,-2.093464436,alternative
0.29214058,0.154891893,2484.9736,2285.734042,4844.895762,0.135474822,-121.7148111,69.30847978,-16.00724632,48.5562774,17.61663651,-10.39290842,-29.78243118,13.08788162,-10.90080271,-2.504867538,-5.184366282,-8.454858407,-10.46159309,-10.97942252,-3.431065275,-4.674994618,-5.627721722,-10.77740523,-2.966975363,-0.350389961,alternative
0.373378178,0.168976843,1983.041291,2500.423617,4600.211626,0.066354136,-93.56790071,108.5623184,19.83091563,22.07015377,-1.228494365,16.11303639,-0.111845901,-3.45216126,-7.939364186,-4.049246257,-1.229410111,3.058753457,-11.65839542,-0.769547519,-4.809158974,2.907919464,-8.503982064,-1.572981881,-9.542165581,-2.697203811,alternative
0.323052654,0.125609666,948.3810143,1420.455362,1930.868835,0.038963937,-251.669464,131.6811281,2.058958933,44.14484717,28.61562484,25.06484518,14.14295324,3.512371952,-3.19110301,-10.6890342,-5.315834741,-4.556471863,-3.960744634,-8.516008911,-12.00496105,-7.749425825,-11.84182752,-0.086887804,3.147225341,-9.074514897,alternative
0.290668222,0.127379134,1388.83772,1878.172826,2911.104207,0.050329222,-185.8037273,124.1526212,2.946664123,40.53744465,10.25375785,16.84463194,-0.429150253,4.421134689,-11.25363581,2.712233685,-15.43741504,3.172996702,-5.784447043,-10.23864453,-7.020830004,-10.44731296,-9.370250719,4.6734623,-2.778333123,-6.938778438,alternative
0.459348016,0.226587951,1893.733597,2285.584134,4461.344949,0.066015398,-51.79896336,105.021529,3.665598254,50.55856558,-9.323185475,17.64740669,-4.187893567,13.86534761,-1.455673871,9.045841404,1.503758711,9.890468576,0.023862514,4.685133464,-2.211772702,1.82463335,-3.258591964,2.177772834,-3.72951275,0.989016733,alternative
0.505709755,0.190962464,2818.190544,2544.457759,5733.002998,0.152001613,0.744774076,69.16646101,-21.20588633,34.56878047,7.152706741,11.21264486,-0.072775519,14.52492254,1.240849529,8.499167128,-2.037091045,5.501855641,-3.654798483,1.916196687,-5.695281199,0.648163366,-5.188378358,1.045598166,-6.593254462,3.0566681,alternative
0.293326066,0.218086019,2592.046191,2685.04439,5757.808648,0.128822415,-36.82512174,78.25222015,1.083230002,20.51628397,12.39435678,12.46700662,-7.577417671,4.280276431,-1.366401619,-0.4421777,-3.357490221,4.335147014,-6.410266356,1.028422882,-3.990408146,5.31281601,-11.91791862,8.464781815,-1.481889163,-3.495659939,alternative
0.419065483,0.220773041,2765.600409,2658.131659,5763.329342,0.121054098,-29.10668484,68.17999869,6.600801086,46.00103348,11.94416506,12.38199434,-3.146302682,10.1397183,4.801070753,10.33981292,4.082080705,4.022605199,-4.36239767,0.553882235,-6.657066211,-0.394635837,-1.456794877,-0.833724946,-5.795295928,7.588496838,alternative
0.462131712,0.225432351,2386.880512,2322.814691,4812.845762,0.121742903,6.06726167,88.73173944,-24.06651929,30.59113227,-1.068306112,10.56869112,-3.038766501,10.93867362,-0.863720047,9.960892802,-4.862084748,4.207288555,-3.837518608,-1.801215254,-4.365311879,6.464308213,0.13851415,4.932757012,-3.626264099,3.908539768,alternative
0.392743461,0.106776625,1801.736958,2105.942383,3819.570562,0.068368438,-151.8893068,112.325371,-12.23160519,42.05197109,9.882747721,7.967679212,0.621182032,5.464100884,1.80897451,-0.60360893,-3.632876762,-2.166228431,-5.490291103,-0.491276503,-1.66408172,5.134341569,-3.607197108,-5.257458576,-14.28377413,-6.845543796,alternative
0.361750206,0.10988082,2015.172737,2343.370842,4425.847638,0.069942041,-128.9497587,101.7610889,-3.861191909,37.63199782,4.835887589,15.62595265,7.166934597,14.82795201,-1.09468647,12.90697283,-6.226201594,3.887457455,-10.72618393,2.433493323,-7.847304922,-0.259439309,-8.613324707,-3.126230432,-10.03381135,-0.989727363,alternative
0.374235252,0.377081722,2505.577915,2510.24651,5084.059203,0.112680811,42.88156357,80.31322875,-19.1250059,27.14212364,10.47228275,1.391864128,0.850606862,13.23526953,3.734476147,8.866331145,-4.105827558,-0.755995519,-9.10270484,-5.279098596,-7.782953626,0.813384611,-7.612456698,-3.61706827,-9.588852955,-3.710164961,alternative
0.425186491,0.294972956,2355.293502,2098.687134,4440.53618,0.14252941,-3.266624823,89.67979042,-31.16385951,62.64729758,-4.861277498,4.692704298,10.13774499,16.12169745,5.627623687,10.47665766,-2.613437754,2.730060011,-6.251057167,1.695685318,-1.597709607,0.480539652,0.003233757,3.896615277,-0.772157587,-0.767275679,alternative
0.355229957,0.210927591,1132.41426,1707.319555,2302.728767,0.041822252,-155.4256474,145.7804166,2.815808795,36.50380617,22.12515959,14.93597692,15.72787395,7.523166734,-6.801943172,11.40474243,-2.606714595,1.788854713,-5.128338297,-10.84059832,-6.716294522,6.869760116,4.90346709,1.220226735,-6.467196027,8.26968998,alternative
0.405852487,0.160938561,1948.855612,2338.04137,4307.015333,0.076915059,-75.40494107,115.4064041,-2.974096248,12.71531214,-5.256752811,9.108521823,1.363037757,12.74370467,5.250673648,7.702456313,2.517099844,4.590262074,0.0509415,5.894406494,1.222433092,6.720740191,-5.856321631,4.571176212,-7.143782773,4.12560544,alternative
0.400755767,0.156263381,2606.637814,2972.419924,6184.55077,0.097829584,-104.1651702,79.56836961,35.02697966,26.93323585,21.34790136,3.318143262,-5.704062001,5.841023918,-5.218830456,2.673713486,-8.277640524,-0.238706066,-11.33936586,-3.164892124,-1.422686288,-1.947522851,-9.96121348,2.431004806,-14.1009874,-5.25003356,alternative
0.255076472,0.068370901,1653.744081,2121.662585,3150.517454,0.065066026,-252.3791202,133.6647014,16.37747614,3.58344125,15.92583642,-2.864975161,-13.83373985,-3.513689267,-6.777992028,1.432416632,-11.18790572,-7.167311981,-18.60082588,-6.970190574,-10.66008008,-3.185344417,-16.95923117,1.996091284,-16.54532754,0.820450015,alternative
0.426086028,0.257029951,2244.364381,2385.59663,4583.924331,0.106836164,0.247696861,93.82748103,-18.50764165,29.43173827,13.17929437,4.959000669,-2.783398407,12.21008345,0.327625733,8.73718799,0.972409625,5.716545143,-4.255546416,3.260156665,-1.388145864,-0.275647573,-3.594390153,0.202627984,-6.456617544,-2.717111586,alternative
0.442306718,0.257281244,2607.875272,2952.178297,6420.991336,0.095198983,-5.574749999,84.5356985,18.72266712,25.10691003,11.83515119,2.611792232,2.74173422,8.300639718,-0.426848786,3.429625302,-0.019262591,12.84363899,-1.549268681,1.445909246,-2.642337396,4.430977798,-1.532748489,0.828531456,-7.250021843,0.218854634,alternative
